SlopeFEM_2D 计算结果导出
导出时间:,2025-06-10 22:37:13

目标点位移结果
点名称,水平位移 (m),竖直位移 (m)
A,-3.181601e-03,-1.871507e-03
B,1.556304e-02,-1.455115e-03

节点位移结果
节点ID,X坐标 (m),Y坐标 (m),水平位移 (m),竖直位移 (m)
119,2.581787e+04
120,2.408021e+04
121,2.781795e+04
122,1.371802e+04
123,2.293503e+04
124,2.924139e+04
125,2.428060e+04
126,2.606290e+04
127,3.950172e+04
128,1.592751e+05
129,7.764350e+03
130,1.256213e+04
131,2.576845e+04
132,2.117538e+04
133,2.391466e+04
134,2.270736e+04
135,2.687661e+04
136,2.138183e+04
137,2.001851e+04
138,3.044430e+04
139,2.066091e+04
140,2.406083e+04
141,2.524606e+04
142,4.820339e+03
143,7.868998e+03
144,1.951757e+04
145,2.092558e+04
146,2.502505e+04
147,5.563562e+04
148,2.348197e+04
149,1.171826e+05
150,2.244422e+04
151,2.651954e+04
152,2.360276e+04
153,2.188903e+04
154,2.591425e+04
155,2.390602e+04
156,2.654887e+04
157,2.756956e+04
158,1.906187e+04
159,2.714225e+04
160,3.085423e+04
161,1.700045e+04
162,4.016792e+04
163,3.230707e+04
164,6.114031e+04
165,1.168459e+05
166,9.357984e+04
167,7.568898e+04
168,8.561688e+04
169,3.511454e+04
170,1.149519e+05
171,9.802824e+04
172,1.155380e+05
173,2.935479e+04
174,1.179460e+05
175,1.205062e+05
176,4.512875e+04
177,7.040198e+04
178,2.045406e+04
179,3.226828e+04
180,1.165945e+05
181,8.564788e+04
182,9.984273e+04
183,1.238873e+05
184,2.458790e+04
185,1.708700e+04
186,2.888905e+04
187,2.689391e+04
188,9.245153e+04
189,1.067170e+05
190,1.033444e+05
191,1.047720e+05
192,4.216489e+04
193,2.962665e+04
194,1.344609e+05
195,1.285098e+05
196,1.340391e+05
197,1.328417e+05
198,1.476000e+05
199,5.514725e+04
200,3.137600e+04
201,4.103959e+04
202,3.413268e+04
203,7.833937e+04
204,8.754669e+04
205,1.038342e+05
206,8.823717e+04
207,1.244703e+05
208,1.109008e+05
209,1.267139e+05
210,1.227498e+05
211,4.106953e+04
212,5.697026e+04
213,1.328853e+05
214,7.197566e+04
215,7.825274e+04
216,7.530567e+04
217,1.436853e+05
218,3.661230e+04
219,1.173870e+05
220,1.106182e+05
221,1.077293e+05
222,1.301321e+05
223,2.754438e+04
224,1.641628e+05
225,1.407100e+05
226,1.422073e+05
227,1.502500e+05
228,1.317132e+05
229,2.707672e+04
230,6.104733e+03
231,4.544739e+03
232,1.662319e+05
233,1.586011e+05
234,1.177158e+04
235,1.043723e+05
236,3.181332e+04
237,4.185278e+04
238,3.968589e+04
239,6.299389e+04
240,1.195441e+05
241,1.091771e+05
242,5.053460e+04
243,2.695516e+04
244,1.533556e+04
245,1.486622e+04
246,1.433283e+04
247,1.248537e+05
248,8.986134e+04
249,3.970982e+04
250,1.191135e+05
251,1.237337e+05
252,3.439470e+04
253,1.051454e+05
254,1.507351e+05
255,3.417801e+04
256,1.568718e+05
257,1.539637e+05
258,4.065270e+04
259,3.882952e+04
260,3.356840e+04
261,9.825373e+04
262,1.186660e+05
263,5.197431e+04
264,1.137796e+05
265,1.011366e+05
266,1.211786e+05
267,1.181268e+05
268,1.960241e+04
269,7.092449e+04
270,1.643197e+04
271,2.184379e+04
272,3.009774e+04
273,6.499150e+04
274,1.219381e+05
275,1.347255e+05
276,1.148367e+05
277,1.372864e+05
278,7.150225e+04
279,1.439891e+05
280,1.026531e+05
281,1.159180e+05
282,1.414857e+05
283,1.628656e+05
284,2.396322e+04
285,9.087428e+04
286,1.113107e+05
287,1.187939e+05
288,1.539390e+04
289,2.861254e+04
290,2.624287e+04
291,2.541366e+04
292,1.523896e+04
293,5.918741e+04
294,1.274119e+05
295,7.429380e+04
296,4.777251e+04
297,1.104431e+05
298,3.959465e+04
299,2.067129e+04
300,8.451199e+04
301,1.490454e+05
302,1.534301e+05
303,1.546964e+05
304,3.053930e+04
305,2.675243e+04
306,4.176838e+04
307,4.149225e+04
308,4.308833e+04
309,4.144879e+04
310,4.069488e+04
311,7.745372e+04
312,7.502225e+04
313,7.149482e+04
314,1.044684e+05
315,9.042341e+04
316,3.495161e+04
317,2.651660e+04
318,7.637768e+04
319,5.078176e+04
320,5.442788e+04
321,2.545708e+04
322,3.204972e+04
323,1.378382e+05
324,1.435953e+05
325,8.957049e+04
326,1.131760e+05
327,1.545993e+05
328,1.350501e+05
329,1.275680e+05
330,1.201027e+05
331,1.159253e+05
332,1.537180e+04
333,2.441275e+04
334,2.268383e+04
335,3.510308e+04
336,2.810533e+04
337,3.705107e+04
338,3.856810e+04
339,3.257703e+04
340,3.022765e+04
341,2.804802e+04
342,2.680740e+04
343,1.406848e+04
344,1.759255e+04
345,1.036691e+05
346,1.056371e+05
347,7.323842e+04
348,1.421922e+05
349,1.004989e+05
350,2.182678e+04
351,4.161297e+04
352,1.163372e+05
353,2.050265e+04
354,5.660131e+04
355,4.717333e+04
356,1.160973e+05
357,3.771153e+04
358,1.240973e+04
359,3.616137e+04
360,2.983061e+04
361,9.671152e+04
362,2.029871e+04
363,6.465635e+04
364,9.614441e+04
365,3.899770e+04
366,4.083678e+04
367,3.731628e+04
368,3.367754e+04
369,1.007638e+05
370,3.444511e+04
371,3.659385e+04
372,1.905051e+04
373,2.969852e+04
374,3.762744e+04
375,3.687171e+04
376,4.049065e+04
377,3.816814e+04
378,4.028360e+04
